Schlüssel;Bezirk;Planungsraum;Bezirksregion;Prognoseraum;Flächengröße in m²
03040513;Pankow;Schönholz;Schönholz/Wilhelmsruh/Rosenthal;Südliches Pankow;1909168.2
03040614;Pankow;Pankow Zentrum;Pankow Zentrum;Südliches Pankow;3938589.81
03040818;Pankow;Pankow Süd;Pankow Süd;Südliches Pankow;3029694.53
03050919;Pankow;Gustav-Adolf-Straße;Weißensee;Südliches Weißensee;991711.67
03050920;Pankow;Weißer See;Weißensee;Südliches Weißensee;1053976.83
03050923;Pankow;Weißenseer Spitze;Weißensee;Südliches Weißensee;624483.4
03050924;Pankow;Behaimstraße;Weißensee;Südliches Weißensee;438961.31
03050925;Pankow;Komponistenviertel Weißensee;Weißensee;Südliches Weißensee;1119408.64
03051017;Pankow;Rennbahnstraße;Weißensee Ost;Südliches Weißensee;2442521.9
03051021;Pankow;Buschallee;Weißensee Ost;Südliches Weißensee;574678.33
03051022;Pankow;Hansastraße;Weißensee Ost;Südliches Weißensee;690982.75
03061126;Pankow;Arnimplatz;Prenzlauer Berg Nordwest;Nördlicher Prenzlauer Berg;1022264.81
03061131;Pankow;Falkplatz;Prenzlauer Berg Nordwest;Nördlicher Prenzlauer Berg;907550.08
03061227;Pankow;Humannplatz;Prenzlauer Berg Nord;Nördlicher Prenzlauer Berg;693410.07
03061228;Pankow;Erich-Weinert-Straße;Prenzlauer Berg Nord;Nördlicher Prenzlauer Berg;965810.26
03061332;Pankow;Helmholtzplatz;Helmholtzplatz;Nördlicher Prenzlauer Berg;713473.08
03061429;Pankow;Greifswalder Straße;Prenzlauer Berg Ost;Nördlicher Prenzlauer Berg;853513.84
02040703;Friedrichshain-Kreuzberg;Wriezener Bahnhof/Entwicklungsgebiet;Karl-Marx-Allee Süd;Friedrichshain West;888006.83
02050601;Friedrichshain-Kreuzberg;Hausburgviertel;Frankfurter Allee Nord;Friedrichshain Ost;309333.86
02050602;Friedrichshain-Kreuzberg;Samariterviertel;Frankfurter Allee Nord;Friedrichshain Ost;969832.32
02050803;Friedrichshain-Kreuzberg;Stralauer Kiez;Frankfurter Allee Süd FK;Friedrichshain Ost;1354726.79
03010101;Pankow;Bucher Forst;Buch;Buch;13127309.23
03010102;Pankow;Buch;Buch;Buch;4363553.03
03010104;Pankow;Lietzengraben;Buch;Buch;5482059.92
03020209;Pankow;Niederschönhausen;Blankenfelde/Niederschönhausen;Nördliches Pankow;3513461.86
03020307;Pankow;Buchholz;Buchholz;Nördliches Pankow;6465836.53
02050801;Friedrichshain-Kreuzberg;Traveplatz;Frankfurter Allee Süd FK;Friedrichshain Ost;783421.41
02050802;Friedrichshain-Kreuzberg;Boxhagener Platz;Frankfurter Allee Süd FK;Friedrichshain Ost;832852.89
03061441;Pankow;Eldenaer Straße;Prenzlauer Berg Ost;Nördlicher Prenzlauer Berg;577018.47
03071536;Pankow;Teutoburger Platz;Prenzlauer Berg Südwest;Südlicher Prenzlauer Berg;548783.88
03071537;Pankow;Kollwitzplatz;Prenzlauer Berg Südwest;Südlicher Prenzlauer Berg;820670.23
03071633;Pankow;Thälmannpark;Prenzlauer Berg Süd;Südlicher Prenzlauer Berg;438165.79
04020207;Charlottenburg-Wilmersdorf;Flatowallee;Heerstrasse;CW 2;977750.38
04020208;Charlottenburg-Wilmersdorf;Kranzallee;Heerstrasse;CW 2;1482892.62
04020209;Charlottenburg-Wilmersdorf;Eichkamp;Heerstrasse;CW 2;1606449.64
04020310;Charlottenburg-Wilmersdorf;Park Ruhwald;Westend;CW 2;2043057.46
04020311;Charlottenburg-Wilmersdorf;Reichsstraße;Westend;CW 2;1605714.74
04020312;Charlottenburg-Wilmersdorf;Branitzer Platz;Westend;CW 2;714063.08
04020313;Charlottenburg-Wilmersdorf;Königin-Elisabeth-Straße;Westend;CW 2;656676.61
04020314;Charlottenburg-Wilmersdorf;Messegelände;Westend;CW 2;897271.03
03061430;Pankow;Volkspark Prenzlauer Berg;Prenzlauer Berg Ost;Nördlicher Prenzlauer Berg;1211188.78
03061434;Pankow;Anton-Saefkow-Park;Prenzlauer Berg Ost;Nördlicher Prenzlauer Berg;550875.77
03061435;Pankow;Conrad-Blenkle-Straße;Prenzlauer Berg Ost;Nördlicher Prenzlauer Berg;552065.24
03071638;Pankow;Winsstraße;Prenzlauer Berg Süd;Südlicher Prenzlauer Berg;648442.66
03071639;Pankow;Bötzowstraße;Prenzlauer Berg Süd;Südlicher Prenzlauer Berg;570621.96
04010101;Charlottenburg-Wilmersdorf;Jungfernheide;Charlottenburg Nord;CW 1;3066494.35
04010102;Charlottenburg-Wilmersdorf;Plötzensee;Charlottenburg Nord;CW 1;2167582.89
04020204;Charlottenburg-Wilmersdorf;Olympiagelände;Heerstrasse;CW 2;2612307.51
04020205;Charlottenburg-Wilmersdorf;Siedlung Ruhleben;Heerstrasse;CW 2;650020.61
04010103;Charlottenburg-Wilmersdorf;Paul-Hertz-Siedlung;Charlottenburg Nord;CW 1;555856.02
04020206;Charlottenburg-Wilmersdorf;Angerburger Allee;Heerstrasse;CW 2;361207.2
04030415;Charlottenburg-Wilmersdorf;Schloßgarten;Schloß Charlottenburg;CW 3;1256944.82
04030416;Charlottenburg-Wilmersdorf;Klausenerplatz;Schloß Charlottenburg;CW 3;478236.32
04030417;Charlottenburg-Wilmersdorf;Schloßstraße;Schloß Charlottenburg;CW 3;562454.33
04030725;Charlottenburg-Wilmersdorf;Amtsgerichtsplatz;Neue Kantstraße;CW 3;515636.61
04030726;Charlottenburg-Wilmersdorf;Droysenstraße;Neue Kantstraße;CW 3;338759.89
04030827;Charlottenburg-Wilmersdorf;Karl-August-Platz;Kantstraße;CW 3;585164.64
04030828;Charlottenburg-Wilmersdorf;Savignyplatz;Kantstraße;CW 3;537098.89
04030929;Charlottenburg-Wilmersdorf;Hindemithplatz;Kurfürstendamm;CW 3;299562.94
04030930;Charlottenburg-Wilmersdorf;George-Grosz-Platz;Kurfürstendamm;CW 3;464891.88
04030931;Charlottenburg-Wilmersdorf;Breitscheidplatz;Kurfürstendamm;CW 3;603478.89
04031032;Charlottenburg-Wilmersdorf;Halensee;Halensee;CW 3;1226790.03
04041134;Charlottenburg-Wilmersdorf;Bismarckallee;Grunewald;CW 4;1427801.79
04041135;Charlottenburg-Wilmersdorf;Hundekehle;Grunewald;CW 4;1127440.11
04041137;Charlottenburg-Wilmersdorf;Flinsberger Platz;Grunewald;CW 4;914405.02
04041133;Charlottenburg-Wilmersdorf;Güterbahnhof Grunewald;Grunewald;CW 4;543374.37
04041136;Charlottenburg-Wilmersdorf;Hagenplatz;Grunewald;CW 4;943061.2
04041238;Charlottenburg-Wilmersdorf;Kissinger Straße;Schmargendorf;CW 4;646584.3
04041239;Charlottenburg-Wilmersdorf;Stadion Wilmersdorf;Schmargendorf;CW 4;847360.49
04041240;Charlottenburg-Wilmersdorf;Messelpark;Schmargendorf;CW 4;544596.93
04041241;Charlottenburg-Wilmersdorf;Breite Straße;Schmargendorf;CW 4;666954.52
04041342;Charlottenburg-Wilmersdorf;Schlangenbader Straße;Wiesbadener Straße;CW 4;353076.73
04041343;Charlottenburg-Wilmersdorf;Binger Straße;Wiesbadener Straße;CW 4;422998.54
04041344;Charlottenburg-Wilmersdorf;Rüdesheimer Platz;Wiesbadener Straße;CW 4;599848.58
04051445;Charlottenburg-Wilmersdorf;Eisenzahnstraße;Düsseldorfer Straße;CW 5;756713.53
04051446;Charlottenburg-Wilmersdorf;Preußenpark;Düsseldorfer Straße;CW 5;625535.41
04051447;Charlottenburg-Wilmersdorf;Ludwigkirchplatz;Düsseldorfer Straße;CW 5;314639.3
04030518;Charlottenburg-Wilmersdorf;Tegeler Weg;Mierendorffplatz;CW 3;518670.96
04030519;Charlottenburg-Wilmersdorf;Kaiserin-Augusta-Allee;Mierendorffplatz;CW 3;1374898.47
04030620;Charlottenburg-Wilmersdorf;Alt-Lietzow;Otto-Suhr-Allee;CW 3;535823.89
04030621;Charlottenburg-Wilmersdorf;Spreestadt;Otto-Suhr-Allee;CW 3;713693.43
04030622;Charlottenburg-Wilmersdorf;Richard-Wagner-Straße;Otto-Suhr-Allee;CW 3;550507.87
04030623;Charlottenburg-Wilmersdorf;Ernst-Reuter-Platz;Otto-Suhr-Allee;CW 3;958384.23
04030724;Charlottenburg-Wilmersdorf;Lietzensee;Neue Kantstraße;CW 3;633682.5
04051551;Charlottenburg-Wilmersdorf;Brabanter Platz;Barstraße;CW 5;420131.42
04051652;Charlottenburg-Wilmersdorf;Nikolsburger Platz;Volkspark Wilmersdorf;CW 5;441239.92
04051653;Charlottenburg-Wilmersdorf;Prager Platz;Volkspark Wilmersdorf;CW 5;349605.03
04051654;Charlottenburg-Wilmersdorf;Wilhelmsaue;Volkspark Wilmersdorf;CW 5;294390.17
05010204;Spandau;Griesingerstraße;Falkenhagener Feld;SPA 1;1937428.96
05010205;Spandau;An der Tränke;Falkenhagener Feld;SPA 1;592173.3
05010206;Spandau;Gütersloher Weg;Falkenhagener Feld;SPA 1;1765018.81
05010207;Spandau;Darbystraße;Falkenhagener Feld;SPA 1;746868.39
05010208;Spandau;Germersheimer Platz;Falkenhagener Feld;SPA 1;531939.78
05010209;Spandau;An der Kappe;Falkenhagener Feld;SPA 1;1397359.99
05010310;Spandau;Eckschanze;Spandau Mitte;SPA 1;340468.02
05010311;Spandau;Eiswerder;Spandau Mitte;SPA 1;1662768.38
04051448;Charlottenburg-Wilmersdorf;Schaperstraße;Düsseldorfer Straße;CW 5;590664.98
04051549;Charlottenburg-Wilmersdorf;Rathaus Wilmersdorf;Barstraße;CW 5;668035.7
04051550;Charlottenburg-Wilmersdorf;Leon-Jessel-Platz;Barstraße;CW 5;248549.03
04051655;Charlottenburg-Wilmersdorf;Babelsberger Straße;Volkspark Wilmersdorf;CW 5;585878.53
04051656;Charlottenburg-Wilmersdorf;Hildegardstraße;Volkspark Wilmersdorf;CW 5;323613.11
05010102;Spandau;Goltzstraße;Hakenfelde;SPA 1;469726.96
05010103;Spandau;Amorbacher Weg;Hakenfelde;SPA 1;2193346.27
05010312;Spandau;Kurstraße;Spandau Mitte;SPA 1;474546.39
05010313;Spandau;Ackerstraße;Spandau Mitte;SPA 1;498350.29
05010314;Spandau;Carl-Schurz-Straße;Spandau Mitte;SPA 1;1696225.76
05010339;Spandau;Freiheit;Spandau Mitte;SPA 1;1935895.5
05020415;Spandau;Isenburger Weg;Brunsbütteler Damm;SPA 2;1284935.03
05020416;Spandau;Am Heideberg;Brunsbütteler Damm;SPA 2;421337.67
05020417;Spandau;Staakener Straße;Brunsbütteler Damm;SPA 2;2630900.51
05020523;Spandau;Maulbeerallee;Heerstraße Nord;SPA 2;1407659.88
05020524;Spandau;Weinmeisterhornweg;Heerstraße Nord;SPA 2;2636928.39
05020625;Spandau;Borkumer Straße;Wilhelmstadt;SPA 2;1326315.01
05020626;Spandau;Adamstraße;Wilhelmstadt;SPA 2;1450678.8
05020627;Spandau;Tiefwerder;Wilhelmstadt;SPA 2;1590046.05
05020628;Spandau;Graetschelsteig;Wilhelmstadt;SPA 2;492111.49
05020629;Spandau;Börnicker Straße;Wilhelmstadt;SPA 2;3735305.11
05030730;Spandau;Zitadellenweg;Haselhorst;SPA 3;3558508.2
05030731;Spandau;Gartenfelder Straße;Haselhorst;SPA 3;1165456.89
05030832;Spandau;Rohrdamm;Siemensstadt;SPA 3;2385869.05
05030833;Spandau;Motardstraße;Siemensstadt;SPA 3;3273052.63
05040934;Spandau;Alt-Gatow;Gatow/Kladow;SPA 4;3665789.43
05040935;Spandau;Groß-Glienicker Weg;Gatow/Kladow;SPA 4;7833984.79
05040936;Spandau;Jägerallee;Gatow/Kladow;SPA 4;7329465.68
05040937;Spandau;Kladower Damm;Gatow/Kladow;SPA 4;4316266.46
05040938;Spandau;Kafkastraße;Gatow/Kladow;SPA 4;1735697.49
06010101;Steglitz-Zehlendorf;Fichtenberg;Schloßstraße;Region A;989313.79
06010102;Steglitz-Zehlendorf;Schloßstraße;Schloßstraße;Region A;488594.34
06010103;Steglitz-Zehlendorf;Markelstraße;Schloßstraße;Region A;460814.99
06010204;Steglitz-Zehlendorf;Munsterdamm;Albrechtstraße;Region A;1115143.35
06010205;Steglitz-Zehlendorf;Südende;Albrechtstraße;Region A;850583.53
06010206;Steglitz-Zehlendorf;Stadtpark;Albrechtstraße;Region A;709455.49
06010207;Steglitz-Zehlendorf;Mittelstraße;Albrechtstraße;Region A;679455.19
05020418;Spandau;Spandauer Straße;Brunsbütteler Damm;SPA 2;719982.55
05020419;Spandau;Magistratsweg;Brunsbütteler Damm;SPA 2;809155.08
05020420;Spandau;Werkstraße;Brunsbütteler Damm;SPA 2;1221932.81
05020521;Spandau;Döberitzer Weg;Heerstraße Nord;SPA 2;1625980.89
05020522;Spandau;Pillnitzer Weg;Heerstraße Nord;SPA 2;1684692.68
06020301;Steglitz-Zehlendorf;Alt-Lankwitz;Lankwitz;Region B;993670.51
06020302;Steglitz-Zehlendorf;Komponistenviertel Lankwitz;Lankwitz;Region B;1237040.3
04061757;Charlottenburg-Wilmersdorf;Forst Grunewald;Forst Grunewald;CW 6;18455000.81
05010101;Spandau;Hakenfelde Nord;Hakenfelde;SPA 1;17292956.48
09031202;Treptow-Köpenick;Schmöckwitz/Rauchfangswerder;Schmöckwitz/Karolinenhof/Rauchfangswerder;Treptow-Köpenick 3;14762023.26
06020411;Steglitz-Zehlendorf;Schütte-Lanz-Straße;Ostpreußendamm;Region B;1741055.37
06030501;Steglitz-Zehlendorf;Berlepschstraße;Teltower Damm;Region C;1744686.6
06030502;Steglitz-Zehlendorf;Zehlendorf Süd;Teltower Damm;Region C;1312944.83
06030503;Steglitz-Zehlendorf;Zehlendorf Mitte;Teltower Damm;Region C;1884188.96
06040804;Steglitz-Zehlendorf;Krumme Lanke;Zehlendorf Nord;Region D;6416118.1
06040808;Steglitz-Zehlendorf;Hüttenweg;Zehlendorf Nord;Region D;2973854.26
06040810;Steglitz-Zehlendorf;Dahlem;Zehlendorf Nord;Region D;3307369.05
06010208;Steglitz-Zehlendorf;Bergstraße;Albrechtstraße;Region A;620031
06010209;Steglitz-Zehlendorf;Feuerbachstraße;Albrechtstraße;Region A;633510.86
06010210;Steglitz-Zehlendorf;Bismarckstraße;Albrechtstraße;Region A;235482.01
06020306;Steglitz-Zehlendorf;Lankwitz Süd;Lankwitz;Region B;1481209.51
06020409;Steglitz-Zehlendorf;Königsberger Straße;Ostpreußendamm;Region B;2056616.31
06020303;Steglitz-Zehlendorf;Lankwitz Kirche;Lankwitz;Region B;679849.81
06020304;Steglitz-Zehlendorf;Kaiser-Wilhelm-Straße;Lankwitz;Region B;748708.36
06020305;Steglitz-Zehlendorf;Gemeindepark Lankwitz;Lankwitz;Region B;1845931.92
06020407;Steglitz-Zehlendorf;Thermometersiedlung;Ostpreußendamm;Region B;1377768.04
06020408;Steglitz-Zehlendorf;Lichterfelde Süd;Ostpreußendamm;Region B;1395582.76
06020410;Steglitz-Zehlendorf;Oberhofer Platz;Ostpreußendamm;Region B;1371255.88
06030607;Steglitz-Zehlendorf;Goerzwerke;Drakestraße;Region C;1782710.97
06040701;Steglitz-Zehlendorf;Wannsee;Zehlendorf Südwest;Region D;23725907.54
06040703;Steglitz-Zehlendorf;Nikolassee;Zehlendorf Südwest;Region D;16483444.64
06040702;Steglitz-Zehlendorf;Düppel;Zehlendorf Südwest;Region D;3129783.92
06040805;Steglitz-Zehlendorf;Fischerhüttenstraße;Zehlendorf Nord;Region D;1832679.41
06040806;Steglitz-Zehlendorf;Fischtal;Zehlendorf Nord;Region D;1383426.52
06040807;Steglitz-Zehlendorf;Zehlendorf Eiche;Zehlendorf Nord;Region D;1101508.8
06040809;Steglitz-Zehlendorf;Thielallee;Zehlendorf Nord;Region D;2110441.16
07010101;Tempelhof-Schöneberg;Wittenbergplatz/Viktoria-Luise-Platz;Schöneberg Nord;Schöneberg Nord;620711.96
07010102;Tempelhof-Schöneberg;Nollendorfplatz;Schöneberg Nord;Schöneberg Nord;858219.3
07010103;Tempelhof-Schöneberg;Barbarossaplatz;Schöneberg Nord;Schöneberg Nord;514785.59
07010104;Tempelhof-Schöneberg;Dennewitzplatz;Schöneberg Nord;Schöneberg Nord;851975.16
07020201;Tempelhof-Schöneberg;Bayerischer Platz;Schöneberg Süd;Schöneberg Süd;523576.89
07020202;Tempelhof-Schöneberg;Volkspark (Rudolf-Wilde-Park);Schöneberg Süd;Schöneberg Süd;624818.57
07020203;Tempelhof-Schöneberg;Kaiser-Wilhelm-Platz;Schöneberg Süd;Schöneberg Süd;915592.91
03020203;Pankow;Blankenfelde;Blankenfelde/Niederschönhausen;Nördliches Pankow;13061524.88
06030504;Steglitz-Zehlendorf;Teltower Damm;Teltower Damm;Region C;3117972.65
06030605;Steglitz-Zehlendorf;Botanischer Garten;Drakestraße;Region C;1415855.63
06030606;Steglitz-Zehlendorf;Hindenburgdamm;Drakestraße;Region C;746111.61
06030608;Steglitz-Zehlendorf;Schweizer Viertel;Drakestraße;Region C;3083916.57
06030609;Steglitz-Zehlendorf;Augustaplatz;Drakestraße;Region C;1666763.98
06030610;Steglitz-Zehlendorf;Lichterfelde West;Drakestraße;Region C;1584489.21
07030302;Tempelhof-Schöneberg;Ceciliengärten;Friedenau;Friedenau;567290.44
07030303;Tempelhof-Schöneberg;Grazer Platz;Friedenau;Friedenau;2572989.98
07040401;Tempelhof-Schöneberg;Neu-Tempelhof;Tempelhof;Tempelhof;5462549.61
07040402;Tempelhof-Schöneberg;Lindenhofsiedlung;Tempelhof;Tempelhof;1452572.7
07050505;Tempelhof-Schöneberg;Hundsteinweg;Mariendorf;Mariendorf;2252684.47
07050506;Tempelhof-Schöneberg;Birnhornweg;Mariendorf;Mariendorf;554477.24
07060601;Tempelhof-Schöneberg;Marienfelder Allee Nordwest;Marienfelde;Marienfelde;1146448.33
07060602;Tempelhof-Schöneberg;Kirchstraße;Marienfelde;Marienfelde;1235038.71
07060603;Tempelhof-Schöneberg;Marienfelde Nordost;Marienfelde;Marienfelde;1986603.76
07060604;Tempelhof-Schöneberg;Marienfelde Süd;Marienfelde;Marienfelde;4772142.26
07020204;Tempelhof-Schöneberg;Schöneberger Insel;Schöneberg Süd;Schöneberg Süd;1291295.01
07030301;Tempelhof-Schöneberg;Friedenau;Friedenau;Friedenau;1463322.75
07040403;Tempelhof-Schöneberg;Manteuffelstraße;Tempelhof;Tempelhof;1859833.69
07040404;Tempelhof-Schöneberg;Marienhöhe;Tempelhof;Tempelhof;1169276.35
07040405;Tempelhof-Schöneberg;Rathaus Tempelhof;Tempelhof;Tempelhof;3059779.17
07040406;Tempelhof-Schöneberg;Germaniagarten;Tempelhof;Tempelhof;659795.26
07050501;Tempelhof-Schöneberg;Rathausstraße;Mariendorf;Mariendorf;2037992.63
07050502;Tempelhof-Schöneberg;Fritz-Werner-Straße;Mariendorf;Mariendorf;1753404.07
07050503;Tempelhof-Schöneberg;Eisenacher Straße;Mariendorf;Mariendorf;1538514.59
07050504;Tempelhof-Schöneberg;Imbrosweg;Mariendorf;Mariendorf;1232595.3
07070707;Tempelhof-Schöneberg;Wittelsbacherstraße;Lichtenrade;Lichtenrade;970331
08010115;Neukölln;Hasenheide;Schillerpromenade;Neukölln;1424399.99
08010116;Neukölln;Wissmannstraße;Schillerpromenade;Neukölln;165198.96
08010117;Neukölln;Schillerpromenade;Schillerpromenade;Neukölln;501547.32
08010118;Neukölln;Silbersteinstraße;Schillerpromenade;Neukölln;857648.77
08010211;Neukölln;Flughafenstraße;Neuköllner Mitte/Zentrum;Neukölln;421565.27
08010212;Neukölln;Rollberg;Neuköllner Mitte/Zentrum;Neukölln;371477.09
08010213;Neukölln;Körnerpark;Neuköllner Mitte/Zentrum;Neukölln;553472.91
08010214;Neukölln;Glasower Straße;Neuköllner Mitte/Zentrum;Neukölln;589088.41
08010301;Neukölln;Reuterkiez;Reuterstraße;Neukölln;1029718.71
08010302;Neukölln;Bouchéstraße;Reuterstraße;Neukölln;139950.33
08010303;Neukölln;Donaustraße;Reuterstraße;Neukölln;255738.72
08010404;Neukölln;Rixdorf;Rixdorf;Neukölln;1001747.51
08010405;Neukölln;Hertzbergplatz;Rixdorf;Neukölln;398953.06
08010406;Neukölln;Treptower Straße Nord;Rixdorf;Neukölln;430916.37
08010407;Neukölln;Gewerbegebiet Ederstraße;Rixdorf;Neukölln;239997.87
08020620;Neukölln;Tempelhofer Weg;Britz;Britz/Buckow;1808783.4
08020621;Neukölln;Mohriner Allee Nord;Britz;Britz/Buckow;1172310.54
08010508;Neukölln;Weiße Siedlung;Köllnische Heide;Neukölln;1120312.97
08010509;Neukölln;Schulenburgpark;Köllnische Heide;Neukölln;708719.58
07070701;Tempelhof-Schöneberg;Kettinger Straße/Schillerstraße;Lichtenrade;Lichtenrade;2346735.67
07070702;Tempelhof-Schöneberg;Alt-Lichtenrade/Töpchiner Weg;Lichtenrade;Lichtenrade;1985729.55
07070703;Tempelhof-Schöneberg;John-Locke-Straße;Lichtenrade;Lichtenrade;1123364.89
07070704;Tempelhof-Schöneberg;Nahariyastraße;Lichtenrade;Lichtenrade;899956
07070705;Tempelhof-Schöneberg;Franziusweg/Rohrbachstraße;Lichtenrade;Lichtenrade;1780835.9
07070706;Tempelhof-Schöneberg;Horstwalder Straße/Paplitzer Straße;Lichtenrade;Lichtenrade;938226.81
